,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
90,2020-04-21,680602.6581007966,651552.17062606,707411.6233903503,680602.6581007966,680602.6581007966,-2694.7974448599134,-2694.7974448599134,-2694.7974448599134,-2694.7974448599134,-2694.7974448599134,-2694.7974448599134,0.0,0.0,0.0,677907.8606559368
91,2020-04-22,712055.0093275845,684497.4335532461,741020.626174305,712055.0093275845,712055.0093275845,-1162.1348354339364,-1162.1348354339364,-1162.1348354339364,-1162.1348354339364,-1162.1348354339364,-1162.1348354339364,0.0,0.0,0.0,710892.8744921506
92,2020-04-23,743507.3605543718,719355.0263848864,771656.2472398172,743507.3605543717,743507.3605543718,1119.7321423617575,1119.7321423617575,1119.7321423617575,1119.7321423617575,1119.7321423617575,1119.7321423617575,0.0,0.0,0.0,744627.0926967337
93,2020-04-24,774959.7117811592,748677.3474190332,805402.139525987,774959.7117811592,774959.7117811592,2144.4135739083945,2144.4135739083945,2144.4135739083945,2144.4135739083945,2144.4135739083945,2144.4135739083945,0.0,0.0,0.0,777104.1253550675
94,2020-04-25,806412.0630079466,780179.3919903009,834409.1271486301,806412.0630079466,806412.0630079466,2142.34830530335,2142.34830530335,2142.34830530335,2142.34830530335,2142.34830530335,2142.34830530335,0.0,0.0,0.0,808554.41131325
95,2020-04-26,837864.4142347339,813650.9376322681,866560.9063316024,837864.4142347339,837864.4142347339,1285.1326329916737,1285.1326329916737,1285.1326329916737,1285.1326329916737,1285.1326329916737,1285.1326329916737,0.0,0.0,0.0,839149.5468677256
96,2020-04-27,869316.7654615213,834376.6640229977,894783.2266884393,869316.7654615212,869316.7654615213,-2834.694374277859,-2834.694374277859,-2834.694374277859,-2834.694374277859,-2834.694374277859,-2834.694374277859,0.0,0.0,0.0,866482.0710872435
97,2020-04-28,900769.1166883087,869461.1396589462,924137.022310487,900769.1166883085,900769.1166883087,-2694.7974448576792,-2694.7974448576792,-2694.7974448576792,-2694.7974448576792,-2694.7974448576792,-2694.7974448576792,0.0,0.0,0.0,898074.319243451
98,2020-04-29,932221.4679150966,907815.6911371839,954739.9315006474,932221.4679150966,932221.4679150966,-1162.1348354284735,-1162.1348354284735,-1162.1348354284735,-1162.1348354284735,-1162.1348354284735,-1162.1348354284735,0.0,0.0,0.0,931059.3330796681
99,2020-04-30,963673.8191418839,936624.2823634874,990172.0720893509,963673.8191418839,963673.8191418839,1119.7321423653618,1119.7321423653618,1119.7321423653618,1119.7321423653618,1119.7321423653618,1119.7321423653618,0.0,0.0,0.0,964793.5512842492
100,2020-05-01,995126.1703686707,972545.932458623,1024191.6181896473,995126.1703686707,995126.1703686707,2144.413573909759,2144.413573909759,2144.413573909759,2144.413573909759,2144.413573909759,2144.413573909759,0.0,0.0,0.0,997270.5839425805
101,2020-05-02,1026578.5215954586,1005609.9480175425,1057502.2007325352,1026578.5215954585,1026578.5215954586,2142.3483053036543,2142.3483053036543,2142.3483053036543,2142.3483053036543,2142.3483053036543,2142.3483053036543,0.0,0.0,0.0,1028720.8699007622
102,2020-05-03,1058030.872822246,1030036.2296227571,1086155.6092838012,1058030.872822246,1058030.872822246,1285.1326329897804,1285.1326329897804,1285.1326329897804,1285.1326329897804,1285.1326329897804,1285.1326329897804,0.0,0.0,0.0,1059316.0054552357
103,2020-05-04,1089483.2240490334,1060420.5806246335,1119748.3133914599,1085997.0497096155,1093162.4222762315,-2834.694374279692,-2834.694374279692,-2834.694374279692,-2834.694374279692,-2834.694374279692,-2834.694374279692,0.0,0.0,0.0,1086648.5296747538
